pathophysiologic finding,RID4736.Observation
valvular heart disease,RID3260.Observation
cor pulmonale,RID3282.Observation
tetralogy of Fallot,RID34611.Observation
heart failure,RID34795.Observation
total anomalous pulmonary venous return,RID34773.Observation
cardiac tamponade,RID3283.Observation
septal defect,RID3274.Observation
partial anomalous pulmonary venous return,RID34766.Observation
cardiomyopathy,RID3243.Observation
ischemic heart disease,RID3235.Observation
pericardial constriction,RID3281.Observation
tricuspid valve disease,RID3262.Observation
carcinoid valvulopathy,RID3273.Observation
bicuspid heart valve,RID3261.Observation
flail leaflet,RID3264.Observation
parachute mitral valve,RID4794.Observation
systolic doming,RID3263.Observation
Ebstein anomaly,RID34612.Observation
relapsing leaflet,RID3267.Observation
mitral valve insufficiency,RID34748.Observation
mitral valve prolapse,RID3269.Observation
congenitally biscuspid aortic valve,RID39211.Observation
functionally biscuspid aortic valve,RID39212.Observation
right heart failure,RID34796.Observation
ventricular septal defect,RID3277.Observation
post-myocardial infarction septal defect,RID3279.Observation
atrial septal defect,RID38590.Observation
ostium secundum atrial septal defect,RID3275.Observation
hypertrophic cardiomyopathy,RID3251.Observation
ischemic cardiomyopathy,RID3250.Observation
dilated cardiomyopathy,RID3244.Observation
restrictive cardiomyopathy,RID3255.Observation
hypertrophic obstructive cardiomyopathy,RID3252.Observation
hypertrophic nonobstructive cardiomyopathy,RID3254.Observation
high-output syndrome,RID3249.Observation
arrhythmogenic right ventricular cardiomyopathy,RID3245.Observation
Loeffler endocarditis,RID3257.Observation
endomyocardial fibrosis,RID3256.Observation
carcinoid heart disease,RID3259.Observation
microvascular ischemia,RID3242.Observation
inducible ischemia,RID3241.Observation
resting ischemia,RID3237.Observation
myocardial infarction,RID3236.Observation
hibernating heart,RID3238.Observation
stunned myocardium,RID3240.Observation
ascites,RID1541.Observation
pneumomediastinum,RID28523.Observation
pneumopericardium,RID28524.Observation
interstitial lung disease,RID28799.Observation
pneumothorax,RID5352.Observation
airway abnormality,RID46026.Observation
small-airways disease,RID43278.Observation
pneumonia,RID5350.Observation
pneumatocele,RID28522.Observation
bronchitis,RID34637.Observation
disorder of pulmonary circulation,RID34888.Observation
asbestos-related disease,RID34540.Observation
adult respiratory distress syndrome,RID5319.Observation
chronic obstructive pulmonary disease,RID5317.Observation
chronic infiltrative lung disease,RID5328.Observation
pneumoconiosis,RID5343.Observation
pulmonary aspiration,RID5321.Observation
asthma,RID5327.Observation
pulmonary alveolar proteinosis,RID34650.Observation
tension pneumothorax,RID28525.Observation
eosinophilic pneumonia,RID5351.Observation
viral pneumonia,RID34769.Observation
Klebsiella pneumonia,RID34613.Observation
pulmonary infarction,RID34889.Observation
pleural plaque,RID43269.Observation
interstitial pneumonia,RID5329.Observation
lymphoid interstitial pneumonia,RID28515.Observation
nonspecific interstitial pneumonia,RID5341.Observation
acute interstitial pneumonia,RID5330.Observation
usual interstitial pneumonia,RID5333.Observation
desquamative interstitial pneumonia,RID5331.Observation
lymphocytic interstitial pneumonia,RID5342.Observation
organizing pneumonia,RID28518.Observation
chronic fibrosing interstitial pneumonia,RID28508.Observation
cryptogenic organizing pneumonia,RID5335.Observation
idiopathic pulmonary fibrosis,RID28836.Observation
silicosis,RID5344.Observation
progressive massive fibrosis,RID5345.Observation
inert dust pneumoconiosis,RID5348.Observation
miscellaneous organic dust pneumoconiosis,RID5349.Observation
asbestosis,RID5346.Observation
other silicate pneumoconiosis,RID5347.Observation
aspiration of solid foreign body,RID5322.Observation
aspiration of digestive secretions,RID5323.Observation
aspiration of lipid,RID5324.Observation
aspiration of liquid,RID5325.Observation
aspiration of water,RID5326.Observation
postoperative complication,RID4593.Observation
postoperative change,RID4591.Observation
shunt dysfunction,RID4615.Observation
improper placement,RID4604.Observation
subglottal stenosis,RID4626.Observation
orthopedic device problem,RID4616.Observation
failed back surgery syndrome,RID4605.Observation
endoleak,RID4613.Observation
cystic duct syndrome,RID4602.Observation
valve pressure reset,RID4625.Observation
stent malposition,RID4614.Observation
hardware failure,RID4603.Observation
postpericardiotomy syndrome,RID4608.Observation
short bowel syndrome,RID4609.Observation
Hofmeister defect,RID4607.Observation
alkaline reflux gastritis,RID4596.Observation
anastomotic leak,RID4597.Observation
afferent loop syndrome,RID4594.Observation
efferent loop syndrome,RID4595.Observation
blind loop syndrome,RID4600.Observation
stump blowout,RID4611.Observation
blind pouch syndrome,RID4601.Observation
suture granuloma,RID4612.Observation
anastomotic narrowing,RID4599.Observation
polyethylene wear,RID4617.Observation
arthroplasty device complication,RID4618.Observation
fixator problem,RID4621.Observation
arthroplasty loosening,RID4619.Observation
pin-track infection,RID4624.Observation
pin loosening,RID4622.Observation
fixator break,RID4623.Observation
fat packing,RID4592.Observation
malignant neoplastic disease,RID34616.Observation
breast cancer,RID45682.Observation
colorectal cancer,RID45684.Observation
cervical cancer,RID45683.Observation
lung cancer,RID45686.Observation
head and neck cancer,RID45697.Observation
esophageal cancer,RID45696.Observation
endometrial cancer,RID45685.Observation
pancreatic cancer,RID45688.Observation
ovarian cancer,RID45687.Observation
malignant neoplasm of pelvis,RID34669.Observation
gastric cancer,RID34623.Observation
thyroid cancer,RID45691.Observation
melanoma,RID34617.Observation
testicular cancer,RID45690.Observation
cancer of unknown primary,RID45744.Observation
prostate cancer,RID45689.Observation
lymphoma,RID3840.Observation
malignant neoplasm of genitourinary system,RID34671.Observation
malignant neoplasm of genitourinary organ,RID34670.Observation
malignant neoplasm of ureter,RID34672.Observation
transitional cell carcinoma of ureter,RID34673.Observation
large cell lymphoma,RID3844.Observation
non-Hodgkin lymphoma,RID3843.Observation
T-cell lymphoma,RID34835.Observation
Hodgkin lymphoma,RID3842.Observation
hypothermia,RID34682.Observation
diabetes,RID39048.Observation
anosmia,RID28792.Observation
scurvy,RID34649.Observation
rickets,RID34716.Observation
mental retardation,RID34718.Observation
local tumor progression,RID11520.Observation
different organ disease progression,RID11519.Observation
same organ disease progression,RID11518.Observation
progressive disease,RID11515.Observation
congenital malformation,RID28795.Observation
ureterocele,RID34640.Observation
congenital anomaly of skeletal bone,RID46038.Observation
lobar dysmorphism,RID34632.Observation
posterior urethral valve,RID34697.Observation
congenital cardiovascular malformation,RID34631.Observation
craniosynostosis,RID34603.Observation
congenital dilatation of lobar intrahepatic bile duct,RID34711.Observation
congenital anomaly of uterus,RID39178.Observation
congenital anomaly of spine,RID34707.Observation
congenital chromosomal abnormality,RID34837.Observation
chondrodysplasia,RID46039.Observation
transposition of great vessels,RID34661.Observation
azygous continuation of inferior vena cava,RID34583.Observation
hypoplasia of right ventricle,RID34741.Observation
encephalotrigeminal angiomatosis,RID34788.Observation
persistent truncus arteriosus,RID34799.Observation
persistent left superior vena cava,RID34706.Observation
hypoplastic left heart syndrome,RID34704.Observation
bicornate uterus,RID39210.Observation
uterus didelphys,RID39255.Observation
unicornuate uterus,RID39179.Observation
spina bifida,RID34708.Observation
trisomy 18,RID46045.Observation
anomaly of chromosome X,RID34719.Observation
gonadal dysgenesis syndrome,RID34720.Observation
cystic fibrosis,RID34638.Observation
tumor invasion of adjacent structure,RID39257.Observation
neoplasm,RID3957.Observation
focal proliferation,RID3873.Observation
neuroendocrine neoplasm,RID4483.Observation
myomatous neoplasm,RID4382.Observation
fibroepithelial neoplasm,RID4283.Observation
pheochromocytoma,RID4516.Observation
blood vessel neoplasm,RID3964.Observation
sinonasal undifferentiated carcinoma,RID4517.Observation
oncocytoma,RID4515.Observation
odontogenic tumor,RID4178.Observation
mesothelial neoplasm,RID4376.Observation
neuroepitheliomatous neoplasm,RID4398.Observation
gestational trophoblastic tumor,RID4330.Observation
myxoma,RID4397.Observation
epithelial neoplasm,RID4210.Observation
endolymphatic sac tumor,RID4177.Observation
germ cell neoplasm,RID4314.Observation
fibroelastoma,RID4312.Observation
neuronal or mixed neuronal-glial neoplasm,RID4499.Observation
synovial neoplasm,RID4555.Observation
tumor in vein,RID39483.Observation
hamartoma,RID4335.Observation
melanocytic neoplasm,RID4373.Observation
index tumor,RID11517.Observation
acinar cell neoplasm,RID3959.Observation
fibrous connective tissue neoplasm,RID4288.Observation
chordoma,RID4146.Observation
desmoplastic small cell tumor,RID4520.Observation
central nervous system neoplasm,RID4025.Observation
fatty neoplasm,RID4341.Observation
bone-forming neoplasm,RID4001.Observation
stromal neoplasm or complex mixed neoplasm,RID4523.Observation
cystic mucinous and/or serous neoplasm,RID4149.Observation
histiocytic or fibrohistiocytic neoplasm,RID4303.Observation
sarcoma,RID4521.Observation
craniopharyngioma,RID4147.Observation
cartilage-forming neoplasm,RID4125.Observation
malignant neoplasm,RID36042.Observation
lymphatic vessel neoplasm,RID4368.Observation
pineal parenchymal neoplasm,RID4490.Observation
insulinoma,RID4486.Observation
somatostatinoma,RID4497.Observation
VIPoma,RID4498.Observation
islet cell tumor,RID4487.Observation
gastrinoma,RID4484.Observation
glucagonoma,RID4485.Observation
medullary carcinoma,RID4488.Observation
nonhyperfunctioning neuroendocrine tumor,RID4489.Observation
pineocytoma,RID4493.Observation
pineoblastoma,RID4491.Observation
pineal parenchymal tumor of intermediate differentiation,RID4495.Observation
rhabdomyomatous neoplasm,RID4394.Observation
leiomyomatous neoplasm,RID4384.Observation
rhabdomyoma,RID4395.Observation
rhabdomyosarcoma,RID4396.Observation
leiomyosarcoma,RID4387.Observation
leiomyoblastoma,RID4386.Observation
leiomyoma,RID4389.Observation
fibromyoma,RID39270.Observation
adenofibroma,RID4284.Observation
fibroadenoma,RID4285.Observation
Brenner tumor,RID4286.Observation
phyllodes tumor,RID4287.Observation
angioblastoma,RID3965.Observation
hemangiosarcoma,RID3998.Observation
hemangiopericytoma,RID3997.Observation
cystic angiomatosis,RID3967.Observation
angiofibroma,RID3966.Observation
Kaposi sarcoma,RID3999.Observation
hemangioendothelioma,RID3988.Observation
hemangioma,RID3969.Observation
Kupffer cell sarcoma,RID4000.Observation
hemangioblastoma,RID3995.Observation
angiosarcoma,RID3989.Observation
endovascular papillary angioendothelioma,RID3968.Observation
infantile hemangioendothelioma,RID3992.Observation
epithelioid hemangioendothelioma,RID3991.Observation
spindle cell hemangioendothelioma,RID3994.Observation
Kaposiform hemangioendothelioma,RID3993.Observation
intraosseous hemangioma,RID34647.Observation
verrucous keratotic hemangioma,RID3987.Observation
epithelioid hemangioma,RID3976.Observation
venous hemangioma,RID3986.Observation
racemose hemangioma,RID3978.Observation
infantile hemangioma,RID3977.Observation
noninvoluting congenital hemangioma,RID3981.Observation
angiokeratoma,RID3970.Observation
rapidly involuting congenital hemangioma,RID3980.Observation
capillary hemangioma,RID3972.Observation
hemangiomatosis,RID3983.Observation
acquired tufted haemangioma,RID3971.Observation
intramuscular hemangioma,RID3982.Observation
lobular capillary hemangioma,RID3984.Observation
cavernous angioma,RID3973.Observation
ameloblastic fibro-odontoma,RID4181.Observation
cementoma,RID4192.Observation
central odontogenic fibroma,RID4193.Observation
ameloblastic fibrodentinoma,RID4182.Observation
cementifying fibroma,RID4190.Observation
adenomatoid odontogenic tumor,RID4180.Observation
ameloblastic odontosarcoma,RID4185.Observation
ameloblastic fibroma,RID4183.Observation
clear cell odontogenic tumor,RID4194.Observation
ameloblastic fibrosarcoma,RID4184.Observation
peripheral odontogenic fibroma,RID4208.Observation
squamous odontogenic tumor,RID4209.Observation
malignant odontogenic tumor,RID4206.Observation
odontoma,RID4207.Observation
calcifying odontogenic cyst,RID4189.Observation
odontoameloblastoma,RID4200.Observation
odontogenic carcinosarcoma,RID4201.Observation
granular cell odontogenic tumor,RID4198.Observation
ameloblastoma,RID4187.Observation
calcifying epithelial odontogenic tumour,RID4188.Observation
malignant odontogenic ghost cell tumor,RID4199.Observation
benign odontogenic tumour,RID4205.Observation
odontogenic ghost cell tumor,RID4202.Observation
odontogenic myxoma,RID4203.Observation
cementoblastoma,RID4191.Observation
gigantiform cementoma,RID4197.Observation
compound odontoma,RID4196.Observation
complex odontoma,RID4195.Observation
mesothelioma,RID4377.Observation
biphasic mesothelioma,RID4381.Observation
epithelial mesothelioma,RID4378.Observation
fibrous mesothelioma,RID4379.Observation
granular cell myoblastoma,RID4437.Observation
retinoblastoma,RID4472.Observation
peripheral neuroblastic neoplasm,RID4431.Observation
neuroblastoma,RID4454.Observation
schwannoma,RID4473.Observation
neurofibroma,RID4462.Observation
embryonal neuroepithelial neoplasm,RID4402.Observation
chordoid glioma of third ventricle,RID4400.Observation
malignant peripheral nerve sheath tumor,RID4444.Observation
perineurioma,RID4467.Observation
granular cell tumor of neurohypophysis,RID4442.Observation
esthesioneuroblastoma,RID4432.Observation
esthesioneuroepithelioma,RID4435.Observation
nodular ganglioneuroblastoma,RID4460.Observation
ganglioneuroma,RID4458.Observation
intermixed ganglioneuroblastoma,RID4456.Observation
plexiform schwannoma,RID4480.Observation
acoustic schwannoma,RID4481.Observation
melanotic schwannoma,RID4479.Observation
cellular schwannoma,RID4478.Observation
circumscribed neurofibroma,RID4464.Observation
plexiform neurofibroma,RID4466.Observation
ependymoblastoma,RID4406.Observation
supratentorial primitve neuroectodermal tumor,RID4418.Observation
astroblastoma,RID4429.Observation
medulloepithelioma,RID4404.Observation
melanocytic medulloblastoma,RID4416.Observation
gliomatosis cerebri,RID4427.Observation
medulloblastoma,RID4408.Observation
medullomyoblastoma,RID4414.Observation
classic medulloblastoma,RID4410.Observation
large cell medulloblastoma,RID4413.Observation
desmoplastic medulloblastoma,RID4411.Observation
medulloblastoma with extensive nodularity and advanced neuronal differentiation,RID4412.Observation
epithelioid peripheral nerve sheath tumor,RID4449.Observation
glandular peripheral nerve sheath tumor,RID4450.Observation
melanotic psammomatous peripheral nerve sheath tumor,RID4453.Observation
Triton tumor,RID4451.Observation
melanotic peripheral nerve sheath neoplasm,RID4452.Observation
soft tissue perineurioma,RID4471.Observation
intraneural perineurioma,RID4470.Observation
placental site trophoblastic tumor,RID4333.Observation
hydatidiform mole,RID4331.Observation
partial hydatidiform mole,RID4332.Observation
pancreatic intraepithelial neoplasia,RID4274.Observation
tumorlet,RID4282.Observation
adenoma,RID4211.Observation
thymoma,RID4278.Observation
papilloma,RID4275.Observation
adenolymphoma,RID4238.Observation
carcinoid tumor,RID4246.Observation
carcinoma,RID4247.Observation
nephrogenic adenoma,RID4219.Observation
metanephric adenoma,RID4218.Observation
tubular adenoma,RID4223.Observation
pituitary adenoma,RID4220.Observation
hepatocellular adenoma,RID4215.Observation
juxtaglomerular tumor,RID4216.Observation
tubulovillous adenoma,RID4224.Observation
adrenal cortical adenoma,RID4214.Observation
villous adenoma,RID4225.Observation
pituitary microadenoma,RID4222.Observation
pituitary macroadenoma,RID4221.Observation
squamous papilloma,RID4277.Observation
Schneiderian papilloma,RID4276.Observation
gastric carcinoma,RID4251.Observation
cholangiocellular carcinoma,RID43343.Observation
giant cell carcinoma,RID4252.Observation
adenosquamous carcinoma,RID4241.Observation
hepatocellular carcinoma,RID4271.Observation
embryonal cell carcinoma,RID4250.Observation
cholangiocarcinoma,RID4266.Observation
pituitary carcinoma,RID4255.Observation
small cell carcinoma,RID4256.Observation
carcinomatosis,RID4264.Observation
large cell carcinoma,RID4253.Observation
mucoepidermoid carcinoma,RID4254.Observation
bronchioloalveolar carcinoma,RID4243.Observation
carcinoma in situ,RID4265.Observation
anaplastic thyroid carcinoma,RID4248.Observation
squamous cell carcinoma,RID4259.Observation
adenocarcinoma,RID4226.Observation
clear cell carcinoma,RID4249.Observation
transitional cell carcinoma,RID4279.Observation
solid carcinoma,RID4258.Observation
collecting duct carcinoma,RID4269.Observation
fibrolamellar hepatocellular carcinoma,RID4273.Observation
infiltrative hepatocellular carcinoma,RID39462.Observation
intrahepatic cholangiocarcinoma,RID4267.Observation
spindle cell squamous carcinoma,RID4260.Observation
ductal adenocarcinoma,RID4228.Observation
squamous adenocarcinoma,RID4229.Observation
renal adenocarcinoma,RID4230.Observation
adenoid cystic carcinoma,RID4227.Observation
papillary renal adenocarcinoma,RID4233.Observation
nonpapillary renal adenocarcinoma,RID4234.Observation
oncocytic adenocarcinoma,RID4237.Observation
clear cell adenocarcinoma,RID4235.Observation
chromophobe adenocarcinoma,RID4236.Observation
cloacogenic carcinoma,RID4281.Observation
papillary transitional cell carcinoma,RID34776.Observation
non-seminomatous germ cell tumor,RID4319.Observation
mixed germ cell tumor,RID4328.Observation
germinoma,RID4315.Observation
teratoma,RID4321.Observation
embryonal carcinoma,RID4325.Observation
yolk sac tumor,RID4326.Observation
choriocarcinoma,RID4324.Observation
mature teratoma,RID4322.Observation
immature teratoma,RID4323.Observation
mixed mullerian duct tumor,RID4329.Observation
dysgerminoma,RID4318.Observation
seminoma,RID4316.Observation
spermatocytic seminoma,RID4317.Observation
fibroelastosis,RID4313.Observation
dysplastic gangliocytoma of cerebellum,RID4506.Observation
dysembryoplastic neuroepithelial tumor,RID4504.Observation
gangliocytoma,RID4509.Observation
cerebellar liponeurocytoma,RID4501.Observation
paraganglioma,RID4512.Observation
desmoplastic infantile astrocytoma,RID4502.Observation
central neurocytoma,RID4500.Observation
ganglioglioma,RID4511.Observation
synovial sarcoma,RID4558.Observation
synovioma,RID4556.Observation
biphasic synovial sarcoma,RID4559.Observation
epithelioid cell synovial sarcoma,RID4560.Observation
spindle cell synovial sarcoma,RID4561.Observation
hamartoma of tuber cinereum,RID4338.Observation
mesenchymal hamartoma,RID4340.Observation
Brunner gland hyperplasia,RID4336.Observation
melanocytoma,RID4374.Observation
malignant melanoma,RID4375.Observation
acinar cell adenoma,RID3961.Observation
acinar cell cystadenocarcinoma,RID3963.Observation
acinar cell carcinoma,RID3962.Observation
desmoid,RID4291.Observation
nonossifying fibroma,RID4290.Observation
desmoplastic fibroma,RID4295.Observation
juvenile aponeurotic fibroma,RID4296.Observation
infantile myofibromatosis,RID4299.Observation
fibrosarcoma,RID4300.Observation
fibroma,RID4289.Observation
infantile dermal fibromatosis,RID4297.Observation
aggressive infantile fibromatosis,RID4298.Observation
solitary fibrous tumor,RID4302.Observation
periosteal desmoid,RID4293.Observation
myxoid fibrosarcoma,RID4301.Observation
choroid plexus neoplasm,RID4083.Observation
meningioma,RID4088.Observation
glioma,RID4026.Observation
choroid plexus papilloma,RID4086.Observation
choroid plexus carcinoma,RID4084.Observation
meningioma WHO grade III,RID4118.Observation
meningioma WHO grade II,RID4111.Observation
meningioma WHO grade I,RID4090.Observation
anaplastic meningioma,RID4119.Observation
rhabdoid meningioma,RID4123.Observation
papillary meningioma,RID4121.Observation
atypical meningioma,RID4112.Observation
clear cell meningioma,RID4116.Observation
chordoid meningioma,RID4114.Observation
fibrous meningioma,RID4093.Observation
angiomatous meningioma,RID4091.Observation
transitional meningioma,RID4108.Observation
meningothelial meningioma,RID4098.Observation
lymphoplasmacyte-rich meningioma,RID4096.Observation
microcystic meningioma,RID4102.Observation
metaplastic meningioma,RID4100.Observation
secretory meningioma,RID4106.Observation
psammomatous meningioma,RID4104.Observation
mixed glioma,RID4071.Observation
pituicytoma,RID4082.Observation
ependymal tumor,RID4050.Observation
malignant optic glioma of adulthood,RID4069.Observation
oligodendroglial neoplasm,RID4077.Observation
astrocytoma,RID4027.Observation
oligoastrocytoma,RID4072.Observation
ependymoastrocytoma,RID4076.Observation
anaplastic oligoastrocytoma,RID4074.Observation
ependymoma WHO grade I,RID4052.Observation
ependymoma WHO grade II,RID4057.Observation
anaplastic ependymoma,RID4066.Observation
myxopapillary ependymoma,RID4053.Observation
subependymoma,RID4055.Observation
clear cell ependymoma,RID4060.Observation
tanycytic ependymoma,RID4064.Observation
papillary ependymoma,RID4062.Observation
cellular ependymoma,RID4058.Observation
anaplastic oligodendroglioma,RID4080.Observation
oligodendroglioma,RID4078.Observation
astrocytoma WHO grade III,RID4042.Observation
astrocytoma WHO grade II,RID4035.Observation
astrocytoma WHO grade IV,RID4044.Observation
astrocytoma WHO grade I,RID4028.Observation
fibrillary astrocytoma,RID4040.Observation
protoplasmic astrocytoma,RID4036.Observation
gemistocytic astrocytoma,RID4038.Observation
giant cell glioblastoma,RID4046.Observation
gliosarcoma,RID4048.Observation
pleomorphic xanthoastrocytoma,RID4031.Observation
subependymal giant cell astrocytoma,RID4033.Observation
pilocytic astrocytoma,RID4029.Observation
lipoma,RID4342.Observation
liposarcoma,RID4358.Observation
lipoblastomatosis,RID4357.Observation
intramuscular lipoma,RID4350.Observation
intracortical lipoma,RID4351.Observation
hibernoma,RID4349.Observation
parosteal lipoma,RID4354.Observation
angiomyolipoma,RID4343.Observation
pleomorphic lipoma,RID4355.Observation
angiolipoma,RID4344.Observation
intraosseous lipoma,RID4352.Observation
myelolipoma,RID4353.Observation
fibrolipoma,RID4347.Observation
fibromyxolipoma,RID4348.Observation
atypical lipoma,RID4345.Observation
spindle cell lipoma,RID4356.Observation
chondroid lipoma,RID4346.Observation
mixed liposarcoma,RID4361.Observation
fibroblastic liposarcoma,RID4362.Observation
dedifferentiated liposarcoma,RID4360.Observation
round cell liposarcoma,RID4365.Observation
angiomyoliposarcoma,RID4366.Observation
myxoid liposarcoma,RID4363.Observation
pleomorphic liposarcoma,RID4364.Observation
well differentiated liposarcoma,RID4359.Observation
lipomatous neoplasm,RID4367.Observation
ossifying fibroma,RID4008.Observation
osteosarcoma,RID4010.Observation
osteoma,RID4002.Observation
enostosis,RID4003.Observation
adamantinoma,RID4179.Observation
osteoblastoma,RID4006.Observation
osteoid osteoma,RID4005.Observation
juvenile ossifying fibroma,RID4009.Observation
multicentric osteosarcoma,RID4020.Observation
parosteal osteosarcoma,RID4021.Observation
osteosarcoma in Paget disease of bone,RID4019.Observation
telangiectatic osteosarcoma,RID4024.Observation
fibroblastic osteosarcoma,RID4013.Observation
gnathic osteosarcoma,RID4014.Observation
central osteosarcoma,RID4011.Observation
periosteal osteosarcoma,RID4022.Observation
chondroblastic osteosarcoma,RID4012.Observation
small cell osteosarcoma,RID4023.Observation
intraosseous low grade osteosarcoma,RID4017.Observation
high grade surface osteosarcoma,RID4015.Observation
intracortical osteosarcoma,RID4016.Observation
aggressive osteoblastoma,RID4007.Observation
stromal tumor,RID4549.Observation
multilocular cystic renal tumor,RID4538.Observation
carcinoma ex pleomorphic adenoma,RID4527.Observation
carcinosarcoma,RID4528.Observation
adenomyoma,RID4525.Observation
sialoblastoma,RID4548.Observation
adenosarcoma,RID4526.Observation
embryonal sarcoma,RID4529.Observation
hepatoblastoma,RID4530.Observation
mixed Mullerian tumor,RID4531.Observation
nephrogenic adenofibroma,RID4542.Observation
Wilms tumor,RID4553.Observation
mesoblastic nephroma,RID4534.Observation
atypical teratoid rhabdoid tumor,RID4424.Observation
pulmonary blastoma,RID4546.Observation
pancreatoblastoma,RID4543.Observation
mesenchymoma,RID4533.Observation
pleomorphic adenoma,RID4544.Observation
gastrointestinal stromal tumor,RID4551.Observation
thecoma,RID4562.Observation
cystic nephroma,RID4539.Observation
cystic partially differentiated nephroblastoma,RID4540.Observation
carcinofibroma,RID4532.Observation
pancreatic cystic neoplasm,RID4163.Observation
cystadenocarcinoma,RID4153.Observation
mucinous adenocarcinoma,RID4161.Observation
cystadenoma,RID4150.Observation
pseudomyxoma peritonei,RID4162.Observation
solid and papillary epithelial neoplasm,RID4173.Observation
intraductal papillary mucinous neoplasm,RID4157.Observation
mucinous cystic neoplasm,RID4164.Observation
serous cystadenoma,RID4169.Observation
serous cystadenocarcinoma,RID4156.Observation
papillary cystadenocarcinoma,RID4155.Observation
papillary cystadenoma,RID4152.Observation
mucinous cystadenoma,RID4151.Observation
giant cell tumor,RID4309.Observation
inflammatory myofibroblastic tumor,RID4310.Observation
fibrous histiocytoma,RID4304.Observation
malignant fibrous histocytoma,RID4305.Observation
fibromyxosarcoma,RID4307.Observation
clear cell sarcoma,RID4557.Observation
Ewing sarcoma,RID4522.Observation
chondrosarcoma,RID4140.Observation
chondroblastoma,RID4134.Observation
chondromyxoid fibroma,RID4135.Observation
osteochondroma,RID4136.Observation
chondroma,RID4126.Observation
juxtacortical chondrosarcoma,RID4141.Observation
clear cell chondrosarcoma,RID4142.Observation
myxoid chondrosarcoma,RID4145.Observation
mesenchymal chondrosarcoma,RID4143.Observation
dedifferentiated chondrosarcoma,RID4144.Observation
osteochondromatosis,RID4138.Observation
hereditary multiple exostoses,RID4137.Observation
synovial osteochondromatosis,RID4139.Observation
enchondromatosis,RID4129.Observation
Maffucci syndrome,RID4131.Observation
periosteal chondroma,RID4132.Observation
enchondroma,RID4128.Observation
lymphangioleiomyomatosis,RID4372.Observation
lymphangioma,RID4370.Observation
lymphangiomatosis,RID4371.Observation
cystic hygroma,RID4894.Observation
pseudocyst,RID3954.Observation
macronodule,RID3877.Observation
micronodule,RID3876.Observation
granuloma,RID3953.Observation
regenerative nodule,RID3879.Observation
tumor-like lesion of bone,RID3944.Observation
rheumatoid nodule,RID3878.Observation
dysplastic nodule,RID3880.Observation
cyst,RID3890.Observation
polyp,RID3881.Observation
cholesteatoma,RID3950.Observation
mycetoma,RID28507.Observation
set of cysts,RID34370.Observation
simple bone cyst,RID3945.Observation
ganglion cyst,RID3949.Observation
aneursymal bone cyst,RID3948.Observation
epidermoid,RID3907.Observation
parapelvic cyst,RID3929.Observation
odontogenic cyst,RID3928.Observation
duplication cyst,RID3906.Observation
renal cyst,RID35811.Observation
endometrioma,RID34767.Observation
Nabothian cyst,RID3921.Observation
thyroglossal duct cyst,RID3943.Observation
thymic cyst,RID3942.Observation
Cowper duct cyst,RID3901.Observation
communicating cyst,RID3900.Observation
neurenteric cyst,RID3922.Observation
dentigerous cyst,RID3903.Observation
neuroglial cyst,RID3925.Observation
hyatid cyst,RID34798.Observation
neuroepithelial cyst,RID3927.Observation
dermoid cyst,RID3904.Observation
complicated cysts,RID34372.Observation
Tornwaldt cyst,RID3941.Observation
synovial cyst,RID3940.Observation
Mullerian duct cyst,RID3918.Observation
spermatocele,RID3939.Observation
milk of calcium cyst,RID3917.Observation
ovarian cyst,RID34656.Observation
ranula,RID3919.Observation
colloid cyst,RID3899.Observation
ependymal cyst,RID3910.Observation
perineural cyst,RID3932.Observation
choroid plexus cyst,RID3898.Observation
perinephric cyst,RID3931.Observation
pilonidal cyst,RID3934.Observation
hydrocele,RID3912.Observation
mucocele,RID3955.Observation
Gartner duct cyst,RID3911.Observation
lymphoepithelial cyst,RID3914.Observation
retention cyst,RID3936.Observation
Rathke cleft cyst,RID3935.Observation
juxtaarticular cyst,RID3913.Observation
mesothelial cyst,RID3916.Observation
meniscal cyst,RID3915.Observation
salivary gland cyst,RID3937.Observation
arachnoid cyst,RID3891.Observation
Bartholin gland cyst,RID3893.Observation
Baker cyst,RID3892.Observation
bone cyst,RID3894.Observation
pars intermedia cyst,RID3930.Observation
choledochal cyst,RID3896.Observation
congenital inclusion cyst,RID3909.Observation
mucopyocele,RID3956.Observation
appendiceal mucocele,RID34731.Observation
hyperplastic polyp,RID3888.Observation
adenomatous polyp,RID3887.Observation
inflammatory fibroid polyp,RID3889.Observation
inflammatory esophagogastric polyp,RID3882.Observation
fibrovascular polyp,RID3884.Observation
fibroepithelial polyp,RID3883.Observation
benign epithelial polyp of colon,RID3886.Observation
cholesterol polyp,RID3885.Observation
congenital cholesteatoma,RID3952.Observation
acquired cholesteatoma,RID3951.Observation
clustered microcysts,RID34371.Observation
hepatic encephalopathy,RID34683.Observation
disorder of porphyrin metabolism,RID34736.Observation
sphingolipidosis,RID34777.Observation
lysosomal storage disease,RID34414.Observation
metabolic bone disease,RID34745.Observation
hyperlipidemia,RID39096.Observation
disorder of bilirubin metabolism,RID34737.Observation
hyperbilirubinemia,RID34738.Observation
conjugated hyperbilirubinemia,RID34739.Observation
obstructive hyperbilirubinemia,RID34740.Observation
metachromatic leukodystrophy,RID34778.Observation
Tay-Sachs disease,RID34416.Observation
Gaucher disease,RID34415.Observation
mucopolysaccharidosis,RID34619.Observation
