Radlex descriptor,RID6.Modifier
segmental,RID5694.Modifier
grouped,RID5700.Modifier
linear,RID5811.Modifier
diffuse,RID5701.Modifier
regional,RID34260.Modifier
random,RID46031.Modifier
coalescent,RID5699.Modifier
echogenicity characteristic,RID6045.Modifier
attenuation characteristic,RID6037.Modifier
signal characteristic,RID6049.Modifier
heterogenously echogenic,RID28488.Modifier
hyperechoic,RID6048.Modifier
hypoechoic,RID6046.Modifier
isoechoic,RID6047.Modifier
anechoic,RID34360.Modifier
complex echogenicity,RID34361.Modifier
isoattenuating,RID6040.Modifier
posterior acoustic feature,RID34362.Modifier
high attenuation,RID6038.Modifier
low attenuation,RID6039.Modifier
posterior acoustic enhancement,RID34364.Modifier
posterior acoustic shadowing,RID34365.Modifier
no posterior acoustic features,RID34363.Modifier
combined posterior acoustic pattern,RID34366.Modifier
intermediate signal intensity,RID6051.Modifier
high signal intensity,RID6052.Modifier
low signal intensity,RID6050.Modifier
isointense,RID6053.Modifier
hyperintense,RID35805.Modifier
hypointense,RID35804.Modifier
diffusion-weighted hyperintensity,RID39536.Modifier
T2 hyperintensity,RID39467.Modifier
mild-moderate T2 hyperintensity,RID39468.Modifier
homogeneous marked T2 hyperintensity,RID39458.Modifier
homogeneous marked T2 or T2* hypointensity,RID39471.Modifier
radiopaque,RID6035.Modifier
ivory-like,RID45730.Modifier
cloud-like,RID45732.Modifier
rings and arcs,RID45731.Modifier
non-septated,RID45734.Modifier
flocculent,RID45733.Modifier
circumscribed,RID34279.Modifier
prominent,RID5796.Modifier
not seen,RID38584.Modifier
indistinct,RID34283.Modifier
obscured,RID34282.Modifier
antegrade,RID13047.Modifier
retrograde,RID13046.Modifier
healing,RID6352.Modifier
healed,RID6353.Modifier
ununited,RID6354.Modifier
non-union,RID6355.Modifier
thin,RID28673.Modifier
thick,RID28672.Modifier
normal,RID13173.Modifier
abnormal,RID28453.Modifier
yellow,RID39037.Modifier
green,RID39089.Modifier
black,RID38815.Modifier
white,RID39151.Modifier
brown,RID39032.Modifier
heterogeneous,RID6060.Modifier
homogeneous,RID6059.Modifier
human life stage descriptor,RID5639.Modifier
fetal age,RID43581.Modifier
donor,RID28811.Modifier
gender,RID5652.Modifier
neonatal,RID34494.Modifier
premature,RID39237.Modifier
pediatric,RID34492.Modifier
pregnant,RID34493.Modifier
geriatric,RID39075.Modifier
postmenopausal,RID39141.Modifier
full-term,RID39087.Modifier
male,RID5653.Modifier
female,RID5654.Modifier
previous,RID5726.Modifier
less than 1 hour,RID39338.Modifier
residual,RID5727.Modifier
onset descriptor,RID5735.Modifier
repetitive,RID5724.Modifier
persistent,RID34330.Modifier
intraoperative,RID39334.Modifier
chronic,RID5719.Modifier
greater than 14 weeks,RID39335.Modifier
permanent,RID5728.Modifier
less than 14 weeks,RID39336.Modifier
acute,RID5718.Modifier
greater than 1 hour,RID39337.Modifier
after,RID39330.Modifier
before,RID39331.Modifier
temporary,RID5730.Modifier
fixed,RID5722.Modifier
reversible,RID5723.Modifier
new,RID5720.Modifier
delayed,RID39065.Modifier
old,RID5721.Modifier
late onset,RID5737.Modifier
early onset,RID5736.Modifier
overuse,RID5725.Modifier
hyperacute,RID34779.Modifier
post-fatty-meal,RID49476.Modifier
post-procedure,RID45799.Modifier
post-vertebroplasty,RID45798.Modifier
postoperative,RID5729.Modifier
post-transplant,RID39332.Modifier
preoperative,RID28815.Modifier
cavitary,RID7475.Modifier
solidness descriptor,RID46010.Modifier
nonbilious,RID39228.Modifier
ossified,RID5748.Modifier
fat-containing,RID5749.Modifier
bilious,RID39207.Modifier
scattered fibroglandular densities,RID34274.Modifier
bloody,RID39208.Modifier
mucinous,RID5746.Modifier
calcified,RID5747.Modifier
noncalcified,RID39226.Modifier
liquefied,RID6334.Modifier
serous,RID5740.Modifier
layered,RID39122.Modifier
nuclear,RID6335.Modifier
dessicated,RID6332.Modifier
non-caseating,RID5760.Modifier
lesional iron sparing,RID39465.Modifier
gaseous,RID6333.Modifier
predominantly fatty,RID34273.Modifier
proteinaceous,RID5745.Modifier
hemorrhagic,RID5742.Modifier
osseous,RID6336.Modifier
non-hemorrhagic,RID5743.Modifier
cartilaginous,RID6330.Modifier
collagenous,RID6331.Modifier
caseating,RID5759.Modifier
complex,RID5757.Modifier
cystic,RID5739.Modifier
liquid,RID45646.Modifier
lipid containing,RID5752.Modifier
lesional fat sparing,RID43347.Modifier
gas containing,RID5750.Modifier
serosanguinous,RID39172.Modifier
simple,RID5755.Modifier
turbidity descriptor,RID39152.Modifier
metallic,RID39131.Modifier
mostly solid,RID46012.Modifier
partially solid,RID46011.Modifier
completely solid,RID46013.Modifier
non-solid,RID46016.Modifier
solid,RID5741.Modifier
intralesional fat,RID39463.Modifier
lipid rich,RID5753.Modifier
lipid poor,RID5754.Modifier
air containing,RID5751.Modifier
purulent,RID39154.Modifier
clear,RID38670.Modifier
cloudy,RID39036.Modifier
turbid,RID39153.Modifier
not applicable,RID46056.Modifier
no,RID28475.Modifier
yes,RID28474.Modifier
almost certainly not,RID28471.Modifier
almost certainly,RID38.Modifier
definitely not,RID39.Modifier
equivocal,RID39147.Modifier
indeterminate,RID39110.Modifier
certainty of HCC,RID43303.Modifier
uncertain,RID39177.Modifier
definitely,RID31.Modifier
definite,RID39047.Modifier
probably,RID33.Modifier
suggestive,RID39481.Modifier
possibly,RID34.Modifier
known,RID39120.Modifier
suspected,RID39175.Modifier
probably not,RID36.Modifier
unknown,RID5655.Modifier
indeterminate or low suspicion for HCC,RID43301.Modifier
histologically confirmed HCC,RID43302.Modifier
high suspicion for HCC,RID43304.Modifier
centrilobular,RID28505.Modifier
lower,RID46058.Modifier
upper,RID46057.Modifier
anterolateral,RID38810.Modifier
midline,RID5826.Modifier
inferior,RID5823.Modifier
shifted,RID5845.Modifier
median,RID5846.Modifier
proximal,RID5829.Modifier
inferolateral,RID39104.Modifier
central,RID5827.Modifier
adjacent,RID5849.Modifier
peripheral,RID5828.Modifier
lateral,RID39121.Modifier
displaced,RID5840.Modifier
dislocated,RID39069.Modifier
laterality,RID5821.Modifier
inverted,RID5843.Modifier
retracted,RID5844.Modifier
superior,RID5822.Modifier
elevated position,RID5842.Modifier
medial,RID5820.Modifier
superolateral,RID39241.Modifier
disrupted,RID39070.Modifier
mid-level,RID49452.Modifier
superficial,RID5836.Modifier
depressed position,RID5837.Modifier
deep position,RID5835.Modifier
anterior,RID5818.Modifier
posterior,RID5819.Modifier
detached,RID5838.Modifier
deviated,RID5839.Modifier
center,RID39033.Modifier
prolapsed,RID5850.Modifier
contralateral,RID39254.Modifier
subsegmental,RID5695.Modifier
caudal,RID5832.Modifier
apical,RID5833.Modifier
distal,RID5830.Modifier
right,RID5825.Modifier
left,RID5824.Modifier
unilateral,RID38593.Modifier
bilateral,RID5771.Modifier
fair,RID39080.Modifier
poor,RID39081.Modifier
satisfactory,RID39170.Modifier
adequate,RID39308.Modifier
unsatisfactory,RID39182.Modifier
nonevaluable,RID39225.Modifier
diagnostic,RID39446.Modifier
improved,RID39105.Modifier
good,RID39088.Modifier
excellent,RID39079.Modifier
suboptimal,RID39174.Modifier
intermediately aggressive,RID45770.Modifier
noninvasive,RID5681.Modifier
expansile,RID5682.Modifier
invasive,RID5680.Modifier
non-aggressive,RID45764.Modifier
malignant,RID15655.Modifier
benign,RID15654.Modifier
higher probability of malignancy,RID36039.Modifier
suspicious,RID39314.Modifier
typically benign,RID36038.Modifier
non-expansile,RID45769.Modifier
non-destructive,RID45749.Modifier
aggressive,RID5678.Modifier
indolent,RID5679.Modifier
high grade,RID5676.Modifier
low grade,RID5677.Modifier
tilted,RID49456.Modifier
retroverted,RID38807.Modifier
parallel,RID28692.Modifier
anteverted,RID38806.Modifier
concentric,RID5858.Modifier
eccentric,RID5859.Modifier
descending,RID5955.Modifier
not parallel,RID38769.Modifier
radial,RID5857.Modifier
perpendicular,RID39235.Modifier
coronal,RID5861.Modifier
posterolateral,RID39143.Modifier
contiguous,RID39044.Modifier
discontiguous,RID39068.Modifier
sagittal,RID5860.Modifier
transverse,RID5854.Modifier
ascending,RID5954.Modifier
longitudinal,RID5855.Modifier
retroflexed,RID39240.Modifier
horizontal,RID5852.Modifier
posteromedial,RID39142.Modifier
vertical,RID5853.Modifier
congruent,RID39043.Modifier
enlarged,RID5791.Modifier
shrunken,RID5792.Modifier
engorged,RID5790.Modifier
subcentimeter,RID13433.Modifier
microscopic,RID39125.Modifier
collapsed,RID5784.Modifier
expanded,RID5782.Modifier
contracted,RID5783.Modifier
macroscopic,RID39124.Modifier
constricted,RID5788.Modifier
ectatic,RID5789.Modifier
dilated,RID5786.Modifier
distended,RID5787.Modifier
symmetric size,RID5780.Modifier
asymmetric size,RID5781.Modifier
diminished,RID38669.Modifier
giant,RID5779.Modifier
caliber,RID13440.Modifier
near-atomic,RID39258.Modifier
overinflated,RID5795.Modifier
too small to characterize,RID5773.Modifier
small,RID5774.Modifier
deflated,RID5793.Modifier
inflated,RID5794.Modifier
large,RID5778.Modifier
widened,RID5797.Modifier
deployed,RID49457.Modifier
non-occlusive,RID49454.Modifier
surrogate,RID49449.Modifier
metabolism descriptor,RID39411.Modifier
ictal,RID45648.Modifier
occlusive,RID49453.Modifier
hypermetabolic,RID39412.Modifier
time-of-flight,RID28703.Modifier
min IP,RID28701.Modifier
metabolite map,RID28688.Modifier
localizer,RID28664.Modifier
max IP,RID28687.Modifier
reconstruction,RID28665.Modifier
attenuation,RID28662.Modifier
fluid-attenuated,RID28684.Modifier
low dose,RID35737.Modifier
image addition,RID28685.Modifier
high resolution,RID35736.Modifier
acquisition,RID28660.Modifier
flow-encoded,RID28683.Modifier
angio time,RID28681.Modifier
fluoroscopy time,RID49440.Modifier
dual phase,RID35722.Modifier
ultra-high resolution,RID38752.Modifier
intervention,RID10381.Modifier
pre-contrast,RID28833.Modifier
short tau inversion recovery,RID28699.Modifier
weight-bearing,RID43695.Modifier
proton-density,RID28832.Modifier
cine loop,RID10928.Modifier
triple phase,RID35726.Modifier
real-time,RID28695.Modifier
phase-subtract,RID28693.Modifier
post-contrast,RID28694.Modifier
non-parallel,RID28691.Modifier
fluoroscopic,RID49450.Modifier
multiecho,RID28690.Modifier
Doppler,RID10375.Modifier
functional,RID10378.Modifier
congenital,RID5658.Modifier
dystrophic,RID34286.Modifier
idiopathic,RID5664.Modifier
syndromic,RID5667.Modifier
secretory,RID34295.Modifier
non-syndromic,RID5668.Modifier
iatrogenic,RID5665.Modifier
spontaneous,RID5666.Modifier
genetic,RID5659.Modifier
acquired,RID5662.Modifier
hereditary,RID5660.Modifier
sporadic,RID5661.Modifier
developmental,RID5663.Modifier
3rd,RID6000.Modifier
9th,RID6012.Modifier
8th,RID6010.Modifier
5th,RID6004.Modifier
11th,RID6016.Modifier
4th,RID6002.Modifier
10th,RID6014.Modifier
7th,RID6008.Modifier
2nd,RID5998.Modifier
6th,RID6006.Modifier
1st,RID5996.Modifier
12th,RID6018.Modifier
